"filename", "language", "TypeScript", "MS SQL", "TypeScript JSX", "JSON", "JavaScript", "PostCSS", "comment", "blank", "total"
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/onboarding/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -10, -1, -11
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/onboarding/phone/page.tsx", "TypeScript JSX", 0, 0, 80, 0, 0, 0, 0, 11, 91
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/admin/users/AdminUsersClient.tsx", "TypeScript JSX", 0, 0, 59, 0, 0, 0, -2, 7, 64
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/admin/users/page.tsx", "TypeScript JSX", 0, 0, -7, 0, 0, 0, 0, 0, -7
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/agents/AgentList.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 17, 5, 25
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/clients-hub/page.tsx", "TypeScript JSX", 0, 0, 481, 0, 0, 0, 56, 56, 593
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/clients/ClientPropertiesGrid.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 4
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/clients/ClientPropertiesTable.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/clients/[id]/page.tsx", "TypeScript JSX", 0, 0, -55, 0, 0, 0, 360, 35, 340
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/clients/[id]/shortlists/[shortlistId]/ShortlistClient.tsx", "TypeScript JSX", 0, 0, 191, 0, 0, 0, 11, 20, 222
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/clients/[id]/shortlists/[shortlistId]/page.tsx", "TypeScript JSX", 0, 0, 46, 0, 0, 0, 1, 8, 55
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/collections/[id]/CollectionClient.tsx", "TypeScript JSX", 0, 0, 69, 0, 0, 0, 0, 7, 76
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/collections/[id]/page.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 0, 0, 4, 39
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/collections/page.tsx", "TypeScript JSX", 0, 0, 45, 0, 0, 0, 0, 5, 50
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/dashboard/page.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 15, 2, 22
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/groups/page.tsx", "TypeScript JSX", 0, 0, 217, 0, 0, 0, 5, 16, 238
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/properties/PropertiesClient.tsx", "TypeScript JSX", 0, 0, 41, 0, 0, 0, 12, 14, 67
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/properties/PropertyFilters.tsx", "TypeScript JSX", 0, 0, -60, 0, 0, 0, -33, -6, -99
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/properties/[id]/loading.tsx", "TypeScript JSX", 0, 0, 50, 0, 0, 0, 4, 6, 60
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/properties/[id]/page.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 0, -6, -6, -4
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/properties/loading.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 24
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/settings/page.tsx", "TypeScript JSX", 0, 0, 452, 0, 0, 0, 19, 45, 516
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/app/v2/subscription/page.tsx", "TypeScript JSX", 0, 0, 340, 0, 0, 0, 14, 33, 387
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/ServiceWorkerRegister.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 1, 3, 16
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/billing/TrialBanner.tsx", "TypeScript JSX", 0, 0, 69, 0, 0, 0, 2, 11, 82
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/cards/PropertyCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 7, 24
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/clients/ClientPropertiesTabs.tsx", "TypeScript JSX", 0, 0, -84, 0, 0, 0, 4, -5, -85
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/clients/ClientPropertyActions.tsx", "TypeScript JSX", 0, 0, -29, 0, 0, 0, -1, -3, -33
